"PLANNING DU 1ER SEMESTRE 2017/2018 - MASTER MVA ","","","","","","","","","","","","","","","","","","","","","","","","",""
"13h30 - 16h30","12h45 - 15h45","13h00 - 16h00","13h30 - 16h00","14h00 - 17h00","","","","","","","","","","","","","","","","","","","","",""
"Optimisation convexe :
  modélisation, algorithmes et applications","3D Computer Vision","TP Optimisation et caractéristiques des minimiseurs. Application aux images.","Sub-pixel Image Processing","The partial differential equations of image processing","","","","","","","","","","","","","","","","","","","","",""
"A, D'Aspremont","P Monasse","S Ladjal -","L, Moisan","JM, Morel","","","","","","","","","","","","","","","","","","","","",""
"Amphi Dussane ENS Ulm","Telecom salle C49","Salle C109","Salle C103","Salle C103","","","","","","","","","","","","","","","","","","","","",""
"13h45-16h45","16h15 - 19h15","13h30 - 17h00","16h15 - 18h15","","","","","","","","","","","","","","","","","","","","","",""
"Discrete Inference and Learning","Object Recognition and Computer 
 Vision","Introduction to Medical Image Analysis","TP-Sub-pixel Image Processing","","","","","","","","","","","","","","","","","","","","","",""
"N.Paragios/Y.Tarabalka/K.Alahari","Ponce / Sivic","X. Pennec","L, Moisan","","","","","","","","","","","","","","","","","","","","","",""
"CentraleSupélec Salle à confirmer","ENS Ulm Immeuble Rataud Amphi Galois","Salle C102","Salle C109","","","","","","","","","","","","","","","","","","","","","",""
"","16h00-18h00","14h00-18h00","","","","","","","","","","","","","","","","","","","","","","",""
"","Lecture Group: foundations and theory of mathematics for learning & vision","Computational Statistics","","","","","","","","","","","","","","","","","","","","","","",""
"","V.Perchet","S.Allassonnière","","","","","","","","","","","","","","","","","","","","","","",""
"","salle C103","Condorcet/TP C109","","","","","","","","","","","","","","","","","","","","","","",""
"semaine 43","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 23 octobre 2017","mardi 24 octobre 2017","mercredi 25 octobre 2017","jeudi 26 octobre 2017","vendredi 27 octobre 2017","","","","","","","","","","","","","","","","","","","","",""
"10h00-12h30","08h45 - 10h45","09h00 - 12h00","09h00 - 12h15","","","","","","","","","","","","","","","","","","","","","",""
"Parcimonie et Compressed
  Sensing","Introduction to Statistical Learning","Probabilistic Graphical Models","Introduction à l'imagerie numérique","","","","","","","","","","","","","","","","","","","","","",""
"G, Peyre","N, Vayatis","Bach / Obozinski","Gousseau / Delon","","","","","","","","","","","","","","","","","","","","","",""
"ENS Ulm salle Henri Cartan","Salle Condorcet","Amphi Marie Curie","Telecom Salle C49","","","","","","","","","","","","","","","","","","","","","",""
"","11h00 -13h00","","","","","","","","","","","","","","","","","","","","","","","",""
"","Analyse topologique de données","","","","","","","","","","","","","","","","","","","","","","","",""
"","J.Tierny / F.Chazal","","","","","","","","","","","","","","","","","","","","","","","",""
"","Salle C103","","","","","","","","","","","","","","","","","","","","","","","",""
"10h30-12h30","11h00 - 13h00","13h30 - 16h30","13h30 - 18h45","","","","","","","","","","","","","","","","","","","","","",""
"Graphs in Machine Learning","Reinforcement Learning","Optimisation et caractéristiques des minimiseurs. Application aux images.","Méthodes mathématiques pour les
  neurosciences","","","","","","","","","","","","","","","","","","","","","",""
"M, Valko","A, Lazaric","S Ladjal","Tanre / Veltz","","","","","","","","","","","","","","","","","","","","","",""
"Salle Condorcet","Salle Condorcet","Salle C103","Jussieu, salle à venir","","","","","","","","","","","","","","","","","","","","","",""
"13h30 - 16h30","16h15 - 19h15","13h30 - 17h00","","14h00 - 17h00","","","","","","","","","","","","","","","","","","","","",""
"Optimisation convexe :
  modélisation, algorithmes et applications","Object Recognition and Computer 
 Vision","Introduction to Medical Image Analysis","","The partial differential equations of image processing","","","","","","","","","","","","","","","","","","","","",""
"A, D'Aspremont","Ponce / Sivic","X. Pennec","","JM, Morel","","","","","","","","","","","","","","","","","","","","",""
"Amphi Jean Jaures, 29 rue d'Ulm","ENS Ulm Immeuble Rataud Amphi Galois","Salle C102","","Salle C103","","","","","","","","","","","","","","","","","","","","",""
"13h45-16h45","16h00-18h00","14h00-18h00","","","","","","","","","","","","","","","","","","","","","","",""
"Discrete Inference and Learning","Lecture Group: foundations and theory of mathematics for learning & vision","Computational Statistics","","","","","","","","","","","","","","","","","","","","","","",""
"N.Paragios/Y.Tarabalka/K.Alahari","V.Perchet","S.Allassonnière","","","","","","","","","","","","","","","","","","","","","","",""
"CentraleSupélec Salle à confirmer","salle C103","Condorcet/TP C109","","","","","","","","","","","","","","","","","","","","","","",""
"semaine 44","","","","","","","","","","","","","","","","","","","","","","","","",""
"lundi 30 octobre 2017","mardi 31 octobre 2017","mercredi 1 novembre 2017","jeudi 2 novembre 2017","vendredi 3 novembre 2017","","","","","","","","","","","","","","","","","","","","",""
"","08h45 - 10h45","FÉRIÉ","09h00 - 12h15","","","","","","","","","","","","","","","","","","","","","",""
"","Introduction to Statistical Learning","","TP Introduction à l'imagerie numérique","","","","","","","","","","","","","","","","","","","","","",""
"","N, Vayatis","","Gousseau / Delon","","","","","","","","","","","","","","","","","","","","","",""
"","Salle Condorcet","","Telecom Salle C133","","","","","","","","","","","","","","","","","","","","","",""
"","11h00 -13h00","","","","","","","","","","","","","","","","","","","","","","","",""
"","TP Analyse topologique de données","","","","","","","","","","","","","","","","","","","","","","","",""
